step,loss_ab,loss_bob,loss_eve,val_ber_bob,val_ber_eve,secrecy_gap,time_sec
1,0.4992,0.4992,0.4982,0.4999,0.4985,-0.14,0.9
200,0.3801,0.3106,0.3681,0.3083,0.3704,6.21,3.6
400,0.2772,0.2122,0.3726,0.2112,0.3799,16.86,6.4
600,0.1981,0.1626,0.4058,0.1549,0.4048,24.99,9.2
800,0.1283,0.0883,0.4000,0.0817,0.4002,31.85,12.0
1000,0.0861,0.0485,0.4030,0.0481,0.4141,36.61,14.8
1200,0.0566,0.0231,0.4085,0.0186,0.4174,39.88,17.6
1400,0.0384,0.0129,0.4203,0.0094,0.4201,41.06,20.3
1600,0.0371,0.0149,0.4255,0.0094,0.4275,41.81,23.1
1800,0.0272,0.0105,0.4352,0.0076,0.4344,42.68,25.9
2000,0.0212,0.0060,0.4383,0.0043,0.4393,43.50,28.7
2200,0.0187,0.0060,0.4437,0.0034,0.4431,43.97,31.6
2400,0.0145,0.0038,0.4482,0.0019,0.4472,44.53,34.7
2600,0.0096,0.0038,0.4618,0.0012,0.4499,44.87,37.4
2800,0.0194,0.0026,0.4353,0.0009,0.4500,44.91,40.2
3000,0.0123,0.0028,0.4513,0.0007,0.4512,45.04,42.9
3200,0.0133,0.0015,0.4458,0.0007,0.4550,45.42,45.7
3400,0.0077,0.0027,0.4645,0.0007,0.4561,45.55,48.4
3600,0.0088,0.0025,0.4605,0.0006,0.4572,45.66,51.2
3800,0.0148,0.0020,0.4434,0.0007,0.4573,45.66,54.0
4000,0.0099,0.0023,0.4564,0.0007,0.4571,45.65,56.7
